국가	시점	의약품	데이터
코스타리카	2015	당뇨 약물	57.3
코스타리카	2015	심장 배당체	1.3
코스타리카	2015	항 부정맥제	0.8
코스타리카	2015	이뇨제	54.4
코스타리카	2015	향균제	22.8
코스타리카	2015	진통제	15.7
코스타리카	2015	수면제 및 진정제	0.5
코스타리카	2015	항우울제	28.4
코스타리카	2016	소화성궤양 및 위장용 약물	55
코스타리카	2016	당뇨 약물	59.6
코스타리카	2016	심장 배당체	1.1
코스타리카	2016	항 부정맥제	0.7
코스타리카	2016	이뇨제	54.9
코스타리카	2016	향균제	22.3
코스타리카	2016	진통제	16.5
코스타리카	2016	수면제 및 진정제	0.5
코스타리카	2016	항우울제	29.3
코스타리카	2017	소화성궤양 및 위장용 약물	56.8
코스타리카	2017	당뇨 약물	62.4
코스타리카	2017	심장 배당체	1
코스타리카	2017	항 부정맥제	0.7
코스타리카	2017	이뇨제	54.7
코스타리카	2017	향균제	21.5
코스타리카	2017	진통제	16.7
코스타리카	2017	수면제 및 진정제	0.5
코스타리카	2017	항우울제	30.9
코스타리카	2018	소화성궤양 및 위장용 약물	58.1
코스타리카	2018	당뇨 약물	66.7
코스타리카	2018	심장 배당체	0.9
코스타리카	2018	항 부정맥제	0.8
코스타리카	2018	이뇨제	56.6
코스타리카	2018	향균제	20.1
코스타리카	2018	진통제	17.8
코스타리카	2018	수면제 및 진정제	0.5
코스타리카	2018	항우울제	33.4
코스타리카	2019	소화성궤양 및 위장용 약물	63.6
코스타리카	2019	당뇨 약물	72.2
코스타리카	2019	심장 배당체	0.8
코스타리카	2019	항 부정맥제	0.8
코스타리카	2019	이뇨제	57.8
코스타리카	2019	향균제	20.4
코스타리카	2019	진통제	19.4
코스타리카	2019	수면제 및 진정제	0.5
코스타리카	2019	항우울제	35.9
코스타리카	2020	소화성궤양 및 위장용 약물	66.6
코스타리카	2020	당뇨 약물	78.8
코스타리카	2020	심장 배당체	0.8
코스타리카	2020	항 부정맥제	0.8
코스타리카	2020	이뇨제	60.2
코스타리카	2020	향균제	13
코스타리카	2020	진통제	19.9
코스타리카	2020	수면제 및 진정제	0.6
코스타리카	2020	항우울제	39
유럽	1998	소화관 및 신진대사	
유럽	1998	제산제	
유럽	1998	소화성궤양 및 위장용 약물	
유럽	1998	당뇨 약물	
유럽	1998	심장 배당체	
유럽	1998	항 부정맥제	
유럽	1998	이뇨제	
유럽	1998	향균제	
유럽	1998	진통제	
유럽	1998	수면제 및 진정제	
유럽	1998	항우울제	
유럽	1999	소화관 및 신진대사	
유럽	1999	제산제	
유럽	1999	소화성궤양 및 위장용 약물	
유럽	1999	당뇨 약물	
유럽	1999	심장 배당체	
유럽	1999	항 부정맥제	
유럽	1999	이뇨제	
유럽	1999	향균제	
유럽	1999	진통제	
유럽	1999	수면제 및 진정제	
유럽	1999	항우울제	
유럽	2000	소화관 및 신진대사	
유럽	2000	제산제	
유럽	2000	소화성궤양 및 위장용 약물	
유럽	2000	당뇨 약물	
유럽	2000	심장 배당체	
유럽	2000	항 부정맥제	
유럽	2000	이뇨제	
유럽	2000	향균제	
유럽	2000	진통제	
유럽	2000	수면제 및 진정제	
유럽	2000	항우울제	
유럽	2001	소화관 및 신진대사	
유럽	2001	제산제	
유럽	2001	소화성궤양 및 위장용 약물	
유럽	2001	당뇨 약물	
유럽	2001	심장 배당체	
유럽	2001	항 부정맥제	
유럽	2001	이뇨제	
유럽	2001	향균제	
유럽	2001	진통제	
유럽	2001	수면제 및 진정제	
유럽	2001	항우울제	
유럽	2002	소화관 및 신진대사	
유럽	2002	제산제	
유럽	2002	소화성궤양 및 위장용 약물	
유럽	2002	당뇨 약물	
유럽	2002	심장 배당체	
유럽	2002	항 부정맥제	
유럽	2002	이뇨제	
유럽	2002	향균제	
유럽	2002	진통제	
유럽	2002	수면제 및 진정제	
유럽	2002	항우울제	
유럽	2003	소화관 및 신진대사	
유럽	2003	제산제	
유럽	2003	소화성궤양 및 위장용 약물	
유럽	2003	당뇨 약물	
유럽	2003	심장 배당체	
유럽	2003	항 부정맥제	
유럽	2003	이뇨제	
유럽	2003	향균제	
유럽	2003	진통제	
유럽	2003	수면제 및 진정제	
유럽	2003	항우울제	
유럽	2004	소화관 및 신진대사	
유럽	2004	제산제	
유럽	2004	소화성궤양 및 위장용 약물	
유럽	2004	당뇨 약물	
유럽	2004	심장 배당체	
유럽	2004	항 부정맥제	
유럽	2004	이뇨제	
유럽	2004	향균제	
유럽	2004	진통제	
유럽	2004	수면제 및 진정제	
유럽	2004	항우울제	
유럽	2005	소화관 및 신진대사	
유럽	2005	제산제	
유럽	2005	소화성궤양 및 위장용 약물	
유럽	2005	당뇨 약물	
유럽	2005	심장 배당체	
유럽	2005	항 부정맥제	
유럽	2005	이뇨제	
유럽	2005	향균제	
유럽	2005	진통제	
유럽	2005	수면제 및 진정제	
유럽	2005	항우울제	
유럽	2006	소화관 및 신진대사	
유럽	2006	제산제	
유럽	2006	소화성궤양 및 위장용 약물	
유럽	2006	당뇨 약물	
유럽	2006	심장 배당체	
유럽	2006	항 부정맥제	
유럽	2006	이뇨제	
유럽	2006	향균제	
유럽	2006	진통제	
유럽	2006	수면제 및 진정제	
유럽	2006	항우울제	
유럽	2007	소화관 및 신진대사	
유럽	2007	제산제	
유럽	2007	소화성궤양 및 위장용 약물	
유럽	2007	당뇨 약물	
유럽	2007	심장 배당체	
유럽	2007	항 부정맥제	
유럽	2007	이뇨제	
유럽	2007	향균제	
유럽	2007	진통제	
유럽	2007	수면제 및 진정제	
유럽	2007	항우울제	
유럽	2008	소화관 및 신진대사	
유럽	2008	제산제	
유럽	2008	소화성궤양 및 위장용 약물	
유럽	2008	당뇨 약물	
유럽	2008	심장 배당체	
유럽	2008	항 부정맥제	
유럽	2008	이뇨제	
유럽	2008	향균제	
유럽	2008	진통제	
유럽	2008	수면제 및 진정제	
유럽	2008	항우울제	
유럽	2009	소화관 및 신진대사	
유럽	2009	제산제	
유럽	2009	소화성궤양 및 위장용 약물	
유럽	2009	당뇨 약물	
유럽	2009	심장 배당체	
유럽	2009	항 부정맥제	
유럽	2009	이뇨제	
유럽	2009	향균제	
유럽	2009	진통제	
유럽	2009	수면제 및 진정제	
유럽	2009	항우울제	
유럽	2010	소화관 및 신진대사	
유럽	2010	제산제	
유럽	2010	소화성궤양 및 위장용 약물	
유럽	2010	당뇨 약물	
유럽	2010	심장 배당체	
유럽	2010	항 부정맥제	
유럽	2010	이뇨제	
유럽	2010	향균제	
유럽	2010	진통제	
유럽	2010	수면제 및 진정제	
유럽	2010	항우울제	
유럽	2011	소화관 및 신진대사	
유럽	2011	제산제	
유럽	2011	소화성궤양 및 위장용 약물	
유럽	2011	당뇨 약물	
유럽	2011	심장 배당체	
유럽	2011	항 부정맥제	
유럽	2011	이뇨제	
유럽	2011	향균제	
유럽	2011	진통제	
유럽	2011	수면제 및 진정제	
유럽	2011	항우울제	
유럽	2012	소화관 및 신진대사	
유럽	2012	제산제	
유럽	2012	소화성궤양 및 위장용 약물	
유럽	2012	당뇨 약물	
유럽	2012	심장 배당체	
유럽	2012	항 부정맥제	
유럽	2012	이뇨제	
유럽	2012	향균제	
유럽	2012	진통제	
유럽	2012	수면제 및 진정제	
유럽	2012	항우울제	
유럽	2013	소화관 및 신진대사	
유럽	2013	제산제	
유럽	2013	소화성궤양 및 위장용 약물	
유럽	2013	당뇨 약물	
유럽	2013	심장 배당체	
유럽	2013	항 부정맥제	
유럽	2013	이뇨제	
유럽	2013	향균제	
유럽	2013	진통제	
유럽	2013	수면제 및 진정제	
유럽	2013	항우울제	
유럽	2014	소화관 및 신진대사	
유럽	2014	제산제	
유럽	2014	소화성궤양 및 위장용 약물	
유럽	2014	당뇨 약물	
유럽	2014	심장 배당체	
유럽	2014	항 부정맥제	
유럽	2014	이뇨제	
유럽	2014	향균제	
유럽	2014	진통제	
유럽	2014	수면제 및 진정제	
유럽	2014	항우울제	
유럽	2015	소화관 및 신진대사	
유럽	2015	제산제	
유럽	2015	소화성궤양 및 위장용 약물	
유럽	2015	당뇨 약물	
유럽	2015	심장 배당체	
유럽	2015	항 부정맥제	
유럽	2015	이뇨제	
유럽	2015	향균제	
유럽	2015	진통제	
유럽	2015	수면제 및 진정제	
유럽	2015	항우울제	
유럽	2016	소화관 및 신진대사	
유럽	2016	제산제	
유럽	2016	소화성궤양 및 위장용 약물	
유럽	2016	당뇨 약물	
유럽	2016	심장 배당체	
유럽	2016	항 부정맥제	
유럽	2016	이뇨제	
유럽	2016	향균제	
유럽	2016	진통제	
유럽	2016	수면제 및 진정제	
유럽	2016	항우울제	
유럽	2017	소화관 및 신진대사	
유럽	2017	제산제	
유럽	2017	소화성궤양 및 위장용 약물	
유럽	2017	당뇨 약물	
유럽	2017	심장 배당체	
유럽	2017	항 부정맥제	
유럽	2017	이뇨제	
유럽	2017	향균제	
유럽	2017	진통제	
유럽	2017	수면제 및 진정제	
유럽	2017	항우울제	
유럽	2018	소화관 및 신진대사	
유럽	2018	제산제	
유럽	2018	소화성궤양 및 위장용 약물	
유럽	2018	당뇨 약물	
유럽	2018	심장 배당체	
유럽	2018	항 부정맥제	
유럽	2018	이뇨제	
유럽	2018	향균제	
유럽	2018	진통제	
유럽	2018	수면제 및 진정제	
유럽	2018	항우울제	
유럽	2019	소화관 및 신진대사	
유럽	2019	제산제	
유럽	2019	소화성궤양 및 위장용 약물	
유럽	2019	당뇨 약물	
유럽	2019	심장 배당체	
유럽	2019	항 부정맥제	
유럽	2019	이뇨제	
유럽	2019	향균제	
유럽	2019	진통제	
유럽	2019	수면제 및 진정제	
유럽	2019	항우울제	
유럽	2020	소화관 및 신진대사	
유럽	2020	제산제	
유럽	2020	소화성궤양 및 위장용 약물	
유럽	2020	당뇨 약물	
유럽	2020	심장 배당체	
유럽	2020	항 부정맥제	
유럽	2020	이뇨제	
유럽	2020	향균제	
유럽	2020	진통제	
유럽	2020	수면제 및 진정제	
유럽	2020	항우울제	
오스트리아	2010	소화관 및 신진대사	115.9
오스트리아	2010	제산제	0
오스트리아	2010	소화성궤양 및 위장용 약물	63.7
오스트리아	2010	당뇨 약물	38.4
오스트리아	2010	심장 배당체	2.4
오스트리아	2010	항 부정맥제	2.6
오스트리아	2010	이뇨제	18.5
오스트리아	2010	진통제	10.3
오스트리아	2010	수면제 및 진정제	5.2
오스트리아	2010	항우울제	54.2
오스트리아	2011	소화관 및 신진대사	116.9
오스트리아	2011	제산제	0
오스트리아	2011	소화성궤양 및 위장용 약물	66.1
오스트리아	2011	당뇨 약물	37.7
오스트리아	2011	심장 배당체	2.2
오스트리아	2011	항 부정맥제	2.7
오스트리아	2011	이뇨제	17.8
오스트리아	2011	진통제	10.7
오스트리아	2011	수면제 및 진정제	5.4
오스트리아	2011	항우울제	57
오스트리아	2012	소화관 및 신진대사	119.4
오스트리아	2012	제산제	0
오스트리아	2012	소화성궤양 및 위장용 약물	67.6
오스트리아	2012	당뇨 약물	39.4
오스트리아	2012	심장 배당체	2
오스트리아	2012	항 부정맥제	2.7
오스트리아	2012	이뇨제	17.4
오스트리아	2012	진통제	11
오스트리아	2012	수면제 및 진정제	5.2
오스트리아	2012	항우울제	58
오스트리아	2013	소화관 및 신진대사	121.3
오스트리아	2013	제산제	0
오스트리아	2013	소화성궤양 및 위장용 약물	68.8
오스트리아	2013	당뇨 약물	40.2
오스트리아	2013	심장 배당체	1.8
오스트리아	2013	항 부정맥제	2.7
오스트리아	2013	이뇨제	17.2
오스트리아	2013	진통제	11.2
오스트리아	2013	수면제 및 진정제	4.7
오스트리아	2013	항우울제	59.3
오스트리아	2014	소화관 및 신진대사	148.3
오스트리아	2014	제산제	0
오스트리아	2014	소화성궤양 및 위장용 약물	68.3
오스트리아	2014	당뇨 약물	39.5
오스트리아	2014	심장 배당체	1.7
오스트리아	2014	항 부정맥제	2.6
오스트리아	2014	이뇨제	18.2
오스트리아	2014	진통제	11.7
오스트리아	2014	수면제 및 진정제	5
오스트리아	2014	항우울제	60.3
오스트리아	2015	소화관 및 신진대사	145.2
오스트리아	2015	제산제	0
오스트리아	2015	소화성궤양 및 위장용 약물	66.1
오스트리아	2015	당뇨 약물	38
오스트리아	2015	심장 배당체	1.4
오스트리아	2015	항 부정맥제	2.5
오스트리아	2015	이뇨제	16.9
오스트리아	2015	진통제	11.8
오스트리아	2015	수면제 및 진정제	4.4
오스트리아	2015	항우울제	60.3
오스트리아	2016	소화관 및 신진대사	128.6
오스트리아	2016	제산제	0
오스트리아	2016	소화성궤양 및 위장용 약물	45.9
오스트리아	2016	당뇨 약물	37.6
오스트리아	2016	심장 배당체	1.3
오스트리아	2016	항 부정맥제	2.4
오스트리아	2016	이뇨제	16.5
오스트리아	2016	진통제	12.3
오스트리아	2016	수면제 및 진정제	4.1
오스트리아	2016	항우울제	60.5
오스트리아	2017	소화관 및 신진대사	135.6
오스트리아	2017	제산제	0
오스트리아	2017	소화성궤양 및 위장용 약물	35.4
오스트리아	2017	당뇨 약물	47.3
오스트리아	2017	심장 배당체	1.2
오스트리아	2017	항 부정맥제	2.3
오스트리아	2017	이뇨제	19.1
오스트리아	2017	진통제	12.7
오스트리아	2017	수면제 및 진정제	4.1
오스트리아	2017	항우울제	61
오스트리아	2018	소화관 및 신진대사	143.5
오스트리아	2018	제산제	0
오스트리아	2018	소화성궤양 및 위장용 약물	33.6
오스트리아	2018	당뇨 약물	46.3
오스트리아	2018	심장 배당체	1
오스트리아	2018	항 부정맥제	2.3
오스트리아	2018	이뇨제	18.7
오스트리아	2018	진통제	13.4
오스트리아	2018	수면제 및 진정제	3.9
오스트리아	2018	항우울제	61.3
오스트리아	2019	소화관 및 신진대사	144.4
오스트리아	2019	제산제	0
오스트리아	2019	소화성궤양 및 위장용 약물	32.1
오스트리아	2019	당뇨 약물	47.5
오스트리아	2019	심장 배당체	0.9
오스트리아	2019	항 부정맥제	2.2
오스트리아	2019	이뇨제	18.9
오스트리아	2019	진통제	14.4
오스트리아	2019	수면제 및 진정제	3.9
오스트리아	2019	항우울제	62
벨기에	1998	소화관 및 신진대사	60.8
벨기에	1998	소화성궤양 및 위장용 약물	14.1
벨기에	1998	당뇨 약물	36.4
벨기에	1998	심장 배당체	8.8
벨기에	1998	항 부정맥제	7.1
벨기에	1998	이뇨제	36.5
벨기에	1998	향균제	25.1
벨기에	1998	진통제	6.9
벨기에	1998	항우울제	32.2
벨기에	1999	소화관 및 신진대사	65.4
벨기에	1999	소화성궤양 및 위장용 약물	16
벨기에	1999	당뇨 약물	39.4
벨기에	1999	심장 배당체	8.2
벨기에	1999	항 부정맥제	7.3
벨기에	1999	이뇨제	38.6
벨기에	1999	향균제	25
벨기에	1999	진통제	7.1
벨기에	1999	항우울제	35.7
벨기에	2000	소화관 및 신진대사	68.6
벨기에	2000	소화성궤양 및 위장용 약물	17.8
벨기에	2000	당뇨 약물	41.4
벨기에	2000	심장 배당체	7.5
벨기에	2000	항 부정맥제	7.5
벨기에	2000	이뇨제	39.8
벨기에	2000	향균제	24.2
벨기에	2000	진통제	7.7
벨기에	2000	항우울제	38.8
벨기에	2001	소화관 및 신진대사	78
벨기에	2001	소화성궤양 및 위장용 약물	25
벨기에	2001	당뇨 약물	43.6
벨기에	2001	심장 배당체	7
벨기에	2001	항 부정맥제	7.9
벨기에	2001	이뇨제	41.8
벨기에	2001	향균제	22.7
벨기에	2001	진통제	8.3
벨기에	2001	항우울제	42
벨기에	2002	소화관 및 신진대사	83.2
벨기에	2002	소화성궤양 및 위장용 약물	29.3
벨기에	2002	당뇨 약물	44.6
벨기에	2002	심장 배당체	6.2
벨기에	2002	항 부정맥제	8
벨기에	2002	이뇨제	42
벨기에	2002	향균제	22.7
벨기에	2002	진통제	8.9
벨기에	2002	항우울제	45.7
벨기에	2003	소화관 및 신진대사	91.2
벨기에	2003	소화성궤양 및 위장용 약물	37
벨기에	2003	당뇨 약물	46.2
벨기에	2003	심장 배당체	5.5
벨기에	2003	항 부정맥제	8
벨기에	2003	이뇨제	42.6
벨기에	2003	향균제	22.6
벨기에	2003	진통제	9.7
벨기에	2003	항우울제	48.6
벨기에	2004	소화관 및 신진대사	100.7
벨기에	2004	소화성궤양 및 위장용 약물	45.3
벨기에	2004	당뇨 약물	47.4
벨기에	2004	심장 배당체	5
벨기에	2004	항 부정맥제	8
벨기에	2004	이뇨제	44
벨기에	2004	향균제	21.3
벨기에	2004	진통제	10.4
벨기에	2004	항우울제	52.7
벨기에	2005	소화관 및 신진대사	102.9
벨기에	2005	소화성궤양 및 위장용 약물	47.6
벨기에	2005	당뇨 약물	47.6
벨기에	2005	심장 배당체	4.4
벨기에	2005	항 부정맥제	7.9
벨기에	2005	이뇨제	44.1
벨기에	2005	향균제	22.2
벨기에	2005	진통제	10.8
벨기에	2005	항우울제	53.5
벨기에	2006	소화관 및 신진대사	104.6
벨기에	2006	소화성궤양 및 위장용 약물	47.9
벨기에	2006	당뇨 약물	49.3
벨기에	2006	심장 배당체	4
벨기에	2006	항 부정맥제	7.9
벨기에	2006	이뇨제	44.5
벨기에	2006	진통제	11.5
벨기에	2006	항우울제	55.7
벨기에	2007	소화관 및 신진대사	113.3
벨기에	2007	소화성궤양 및 위장용 약물	54.7
벨기에	2007	당뇨 약물	50.9
벨기에	2007	심장 배당체	3.7
벨기에	2007	항 부정맥제	8
벨기에	2007	이뇨제	44.5
벨기에	2007	향균제	22.6
벨기에	2007	진통제	12.3
벨기에	2007	항우울제	58.6
벨기에	2008	소화관 및 신진대사	131.5
벨기에	2008	소화성궤양 및 위장용 약물	67.3
벨기에	2008	당뇨 약물	55.9
벨기에	2008	심장 배당체	3.6
벨기에	2008	항 부정맥제	8.6
벨기에	2008	이뇨제	46.8
벨기에	2008	향균제	24.2
벨기에	2008	진통제	13.3
벨기에	2008	항우울제	64.5
벨기에	2009	소화관 및 신진대사	141.6
벨기에	2009	소화성궤양 및 위장용 약물	75.3
벨기에	2009	당뇨 약물	58
벨기에	2009	심장 배당체	3.3
벨기에	2009	항 부정맥제	8.5
벨기에	2009	이뇨제	46.4
벨기에	2009	향균제	23.9
벨기에	2009	진통제	13.8
벨기에	2009	항우울제	66.8
벨기에	2010	소화관 및 신진대사	148.5
벨기에	2010	소화성궤양 및 위장용 약물	79.7
벨기에	2010	당뇨 약물	60.5
벨기에	2010	심장 배당체	3
벨기에	2010	항 부정맥제	8.5
벨기에	2010	이뇨제	45.9
벨기에	2010	향균제	24.9
벨기에	2010	진통제	14.4
벨기에	2010	항우울제	68.7
벨기에	2011	소화관 및 신진대사	153.9
벨기에	2011	소화성궤양 및 위장용 약물	83.8
벨기에	2011	당뇨 약물	61.7
벨기에	2011	심장 배당체	2.8
벨기에	2011	항 부정맥제	8.4
벨기에	2011	이뇨제	44
벨기에	2011	향균제	25.4
벨기에	2011	진통제	15.7
벨기에	2011	항우울제	70
벨기에	2012	소화관 및 신진대사	159.5
벨기에	2012	소화성궤양 및 위장용 약물	87.7
벨기에	2012	당뇨 약물	63.2
벨기에	2012	심장 배당체	2.6
벨기에	2012	항 부정맥제	8.4
벨기에	2012	이뇨제	43.3
벨기에	2012	향균제	25.6
벨기에	2012	진통제	17.3
벨기에	2012	항우울제	70.4
벨기에	2013	소화관 및 신진대사	165.3
벨기에	2013	소화성궤양 및 위장용 약물	91.3
벨기에	2013	당뇨 약물	65
벨기에	2013	심장 배당체	2.1
벨기에	2013	항 부정맥제	8.3
벨기에	2013	이뇨제	42
벨기에	2013	향균제	24.2
벨기에	2013	진통제	18.4
벨기에	2013	항우울제	72.1
벨기에	2014	소화관 및 신진대사	170.9
벨기에	2014	소화성궤양 및 위장용 약물	95.4
벨기에	2014	당뇨 약물	66.3
벨기에	2014	심장 배당체	1.9
벨기에	2014	항 부정맥제	8.2
벨기에	2014	이뇨제	41.2
벨기에	2014	향균제	24
벨기에	2014	진통제	19.7
벨기에	2014	항우울제	74.9
벨기에	2015	소화관 및 신진대사	177.9
벨기에	2015	소화성궤양 및 위장용 약물	100.1
벨기에	2015	당뇨 약물	68
벨기에	2015	심장 배당체	1.7
벨기에	2015	항 부정맥제	8.2
벨기에	2015	이뇨제	40.6
벨기에	2015	향균제	24.4
벨기에	2015	진통제	20.6
벨기에	2015	항우울제	77.5
벨기에	2016	소화관 및 신진대사	189
벨기에	2016	소화성궤양 및 위장용 약물	108.7
벨기에	2016	당뇨 약물	70
벨기에	2016	심장 배당체	1.5
벨기에	2016	항 부정맥제	8.1
벨기에	2016	이뇨제	39.9
벨기에	2016	향균제	24.2
벨기에	2016	진통제	21.7
벨기에	2016	항우울제	79
벨기에	2017	소화관 및 신진대사	174.3
벨기에	2017	소화성궤양 및 위장용 약물	92.6
벨기에	2017	당뇨 약물	71
벨기에	2017	심장 배당체	1.3
벨기에	2017	항 부정맥제	8
벨기에	2017	이뇨제	38.6
벨기에	2017	향균제	22.8
벨기에	2017	진통제	22.4
벨기에	2017	항우울제	78.8
벨기에	2018	소화관 및 신진대사	181.1
벨기에	2018	소화성궤양 및 위장용 약물	97.2
벨기에	2018	당뇨 약물	72.8
벨기에	2018	심장 배당체	1.2
벨기에	2018	항 부정맥제	8
벨기에	2018	이뇨제	37.4
벨기에	2018	향균제	22.3
벨기에	2018	진통제	22.8
벨기에	2018	항우울제	79.7
벨기에	2019	소화관 및 신진대사	187.1
벨기에	2019	소화성궤양 및 위장용 약물	100
벨기에	2019	당뇨 약물	75.8
벨기에	2019	심장 배당체	1.1
벨기에	2019	항 부정맥제	7.9
벨기에	2019	이뇨제	34.1
벨기에	2019	향균제	21.3
벨기에	2019	진통제	23.5
벨기에	2019	항우울제	81.9
체코	1998	소화관 및 신진대사	209.2
체코	1998	제산제	2.4
체코	1998	소화성궤양 및 위장용 약물	13.1
체코	1998	당뇨 약물	35.8
체코	1998	심장 배당체	14.2
체코	1998	항 부정맥제	3.8
체코	1998	이뇨제	25.7
체코	1998	진통제	21.3
체코	1998	수면제 및 진정제	18.1
체코	1998	항우울제	7.1
체코	1999	소화관 및 신진대사	221.5
체코	1999	제산제	2.1
체코	1999	소화성궤양 및 위장용 약물	15.5
체코	1999	당뇨 약물	37.8
체코	1999	심장 배당체	13.7
체코	1999	항 부정맥제	4.4
체코	1999	이뇨제	28.9
체코	1999	진통제	22.8
체코	1999	수면제 및 진정제	18.2
체코	1999	항우울제	8.4
체코	2000	소화관 및 신진대사	213.7
체코	2000	제산제	2
체코	2000	소화성궤양 및 위장용 약물	16.8
체코	2000	당뇨 약물	38.8
체코	2000	심장 배당체	12.1
체코	2000	항 부정맥제	4.9
체코	2000	이뇨제	31
체코	2000	진통제	21.2
체코	2000	수면제 및 진정제	17
체코	2000	항우울제	9.7
체코	2001	소화관 및 신진대사	226
체코	2001	제산제	1.8
체코	2001	소화성궤양 및 위장용 약물	19.2
체코	2001	당뇨 약물	47.4
체코	2001	심장 배당체	11
체코	2001	항 부정맥제	5.1
체코	2001	이뇨제	34
체코	2001	진통제	21.7
체코	2001	수면제 및 진정제	15.9
체코	2001	항우울제	12
체코	2002	소화관 및 신진대사	212.5
체코	2002	제산제	1.8
체코	2002	소화성궤양 및 위장용 약물	21.6
체코	2002	당뇨 약물	48.6
체코	2002	심장 배당체	9.7
체코	2002	항 부정맥제	5.6
체코	2002	이뇨제	37.1
체코	2002	진통제	20.9
체코	2002	수면제 및 진정제	15.8
체코	2002	항우울제	14.1
체코	2003	소화관 및 신진대사	206.3
체코	2003	제산제	1.6
체코	2003	소화성궤양 및 위장용 약물	24.1
체코	2003	당뇨 약물	50
체코	2003	심장 배당체	8.5
체코	2003	항 부정맥제	6
체코	2003	이뇨제	39.3
체코	2003	진통제	22.4
체코	2003	수면제 및 진정제	14.8
체코	2003	항우울제	16.9
체코	2004	소화관 및 신진대사	195.9
체코	2004	제산제	1.8
체코	2004	소화성궤양 및 위장용 약물	28.4
체코	2004	당뇨 약물	47.1
체코	2004	심장 배당체	7.1
체코	2004	항 부정맥제	5.5
체코	2004	이뇨제	38.6
체코	2004	진통제	20.3
체코	2004	수면제 및 진정제	14.2
체코	2004	항우울제	20.2
체코	2005	소화관 및 신진대사	213.3
체코	2005	제산제	1.9
체코	2005	소화성궤양 및 위장용 약물	34.3
체코	2005	당뇨 약물	52.8
체코	2005	심장 배당체	6.6
체코	2005	항 부정맥제	6.3
체코	2005	이뇨제	42.4
체코	2005	진통제	23
체코	2005	수면제 및 진정제	15
체코	2005	항우울제	26.7
체코	2006	소화관 및 신진대사	201.2
체코	2006	제산제	1.6
체코	2006	소화성궤양 및 위장용 약물	32.8
체코	2006	당뇨 약물	54.6
체코	2006	심장 배당체	5.7
체코	2006	항 부정맥제	6.1
체코	2006	이뇨제	39.9
체코	2006	진통제	21.3
체코	2006	수면제 및 진정제	14.2
체코	2006	항우울제	29
체코	2007	소화관 및 신진대사	231.8
체코	2007	제산제	1.5
체코	2007	소화성궤양 및 위장용 약물	41.4
체코	2007	당뇨 약물	63.8
체코	2007	심장 배당체	5.7
체코	2007	항 부정맥제	7
체코	2007	이뇨제	46.5
체코	2007	진통제	23.9
체코	2007	수면제 및 진정제	16.4
체코	2007	항우울제	35
체코	2008	소화관 및 신진대사	223.3
체코	2008	제산제	1.5
체코	2008	소화성궤양 및 위장용 약물	41
체코	2008	당뇨 약물	62.8
체코	2008	심장 배당체	4.6
체코	2008	항 부정맥제	6.4
체코	2008	이뇨제	40.5
체코	2008	진통제	22.7
체코	2008	수면제 및 진정제	16
체코	2008	항우울제	35.9
체코	2009	소화관 및 신진대사	223.8
체코	2009	제산제	1.4
체코	2009	소화성궤양 및 위장용 약물	46.4
체코	2009	당뇨 약물	68.4
체코	2009	심장 배당체	4.2
체코	2009	항 부정맥제	6.9
체코	2009	이뇨제	42.1
체코	2009	진통제	22
체코	2009	수면제 및 진정제	16
체코	2009	항우울제	38.3
체코	2010	소화관 및 신진대사	234.9
체코	2010	제산제	1.4
체코	2010	소화성궤양 및 위장용 약물	51.1
체코	2010	당뇨 약물	73.7
체코	2010	심장 배당체	3.9
체코	2010	항 부정맥제	7.2
체코	2010	이뇨제	43.8
체코	2010	진통제	21.5
체코	2010	수면제 및 진정제	16.5
체코	2010	항우울제	41.6
체코	2011	소화관 및 신진대사	239.2
체코	2011	제산제	1.3
체코	2011	소화성궤양 및 위장용 약물	55.2
체코	2011	당뇨 약물	76.3
체코	2011	심장 배당체	3.6
체코	2011	항 부정맥제	7.5
체코	2011	이뇨제	43.4
체코	2011	진통제	22.1
체코	2011	수면제 및 진정제	16.9
체코	2011	항우울제	44.1
체코	2012	소화관 및 신진대사	245.2
체코	2012	제산제	1.1
체코	2012	소화성궤양 및 위장용 약물	58.9
체코	2012	당뇨 약물	78.3
체코	2012	심장 배당체	3.3
체코	2012	항 부정맥제	7.5
체코	2012	이뇨제	44.6
체코	2012	진통제	21.3
체코	2012	수면제 및 진정제	17.1
체코	2012	항우울제	46.2
체코	2013	소화관 및 신진대사	254.6
체코	2013	제산제	1
체코	2013	소화성궤양 및 위장용 약물	60.3
체코	2013	당뇨 약물	80.3
체코	2013	심장 배당체	3.1
체코	2013	항 부정맥제	7.7
체코	2013	이뇨제	45.5
체코	2013	진통제	21.8
체코	2013	수면제 및 진정제	18
체코	2013	항우울제	49
체코	2014	소화관 및 신진대사	258.2
체코	2014	제산제	0.9
체코	2014	소화성궤양 및 위장용 약물	65.7
체코	2014	당뇨 약물	84.7
체코	2014	심장 배당체	2.9
체코	2014	항 부정맥제	8
체코	2014	이뇨제	47.3
체코	2014	진통제	22.8
체코	2014	수면제 및 진정제	19.5
체코	2014	항우울제	52.7
체코	2015	소화관 및 신진대사	279.1
체코	2015	제산제	0.9
체코	2015	소화성궤양 및 위장용 약물	69.7
체코	2015	당뇨 약물	88.1
체코	2015	심장 배당체	2.7
